Compound,CT2,HLT2,LLT2
Glucose,29042660,24617875,14772490
Glucose,90010119,36420253,20087876
Glucose,50086013,29848446,22460338
Glucose,26470542,22963483,15324947
Glucose,41697006,26814535,21407581
Glucose,29035867,23770989,20618448
Arginine,125384063.3,121879325,106539330.2
Arginine,212377412,138502061.7,105749975.9
Arginine,151246645.1,134005048.9,123983732.9
Arginine,112666886.5,121895804.7,111893422.6
Arginine,130600035.2,132023743.6,114242596.9
Arginine,147978906.1,114605822.9,121963134.9
phosphoenolpyruvate (PEP),3183085.602,3349658.71,3666293.178
phosphoenolpyruvate (PEP),3276273.085,3901133.747,3584785.439
phosphoenolpyruvate (PEP),5260727.859,4809751.065,3911968.825
phosphoenolpyruvate (PEP),4418323.868,3499136.612,3857100.539
phosphoenolpyruvate (PEP),4869060.976,4995283.923,3706108.141
phosphoenolpyruvate (PEP),4673700.732,4391729.185,3823150.773
Pyruvate,40016949.4,41776396.21,41689672.32
Pyruvate,111596491.4,49525924.54,45323052.82
Pyruvate,54334679.96,41781108.93,45237933.27
Pyruvate,34584983.47,37716266.09,45458319.36
Pyruvate,46129117.05,41078570.1,49479740.26
Pyruvate,35918870.55,38086634.44,43206220.38
Aspartate,769182294.8,794283068,679367600
Aspartate,656550320.8,765640756.9,630557607.5
Aspartate,778380228.5,810959693.1,676982692.8
Aspartate,804559883.2,740751200,581575967.6
Aspartate,776264639,771036528,631506039.7
Aspartate,820390696.4,771923444.4,656691019.5
Aconitate,36261116.08,29331228.59,32302312.96
Aconitate,28771650.73,25918852.86,28215806.13
Aconitate,29036734.78,24114654.84,27654126.51
Aconitate,35596464.92,29346956.96,31955223.15
Aconitate,28306915.5,26722896.58,28149349.2
Aconitate,30495089.71,26062733.03,30017810.65
Succinate,11164859.53,13359877.15,14400024.85
Succinate,23028146.2,11626298.73,15287277.51
Succinate,15140829.35,11820820.34,15560229.41
Succinate,10111450.43,12203833.88,15124920.39
Succinate,11938268.75,8765090.304,14403789.2
Succinate,11024807.05,11258050.79,13709727.4
Citrate,871173681.6,769235092.6,710672708.1
Citrate,715757018.9,752298331.7,717542836.7
Citrate,839770865.3,743255064.1,746457722.7
Citrate,872366895.4,756758577.7,702254631.4
Citrate,822655995,771266408.7,685714789.1
Citrate,855285871.6,758601945.5,734108096
Glucose 6-phosphate,16702664.72,18374850.52,18506591.52
Glucose 6-phosphate,13290147.31,16379993.98,15889854.15
Glucose 6-phosphate,14319187.89,17057468.24,17453829.42
Glucose 6-phosphate,14624861.33,18504118.85,17691177.35
Glucose 6-phosphate,15468431.5,17192870.15,15858034.64
Glucose 6-phosphate,14934041.37,16883448.15,16587657.16
"fructose 1,6-diphosphate",99357613.24,115778197.2,132237505.4
"fructose 1,6-diphosphate",80644589.66,108684729,119590217.7
"fructose 1,6-diphosphate",80703224.58,98127422.44,118521996.5
"fructose 1,6-diphosphate",94498347.11,116673395.3,130806875.9
"fructose 1,6-diphosphate",81517081.8,103517262.1,118126255.8
"fructose 1,6-diphosphate",84177941.17,103669268.8,122432944.5
Lactate,2080976966,2461726989,2745619886
Lactate,2894218911,2283656205,2728145919
Lactate,1982689230,1913709773,2614335489
Lactate,1697501530,2215492503,3009940901
Lactate,1674116495,2093859755,2729012836
Lactate,1677852257,1949381806,2585339972
AKG,64332225.41,79496573.84,97937487.48
AKG,82861684.57,82118864.25,108693797.1
AKG,75932598.06,83310311.1,105923578.2
AKG,68912231.83,76387957.62,108532039.5
AKG,75004154.7,88152956.65,105291509.6
AKG,72019505.04,84742550.31,100419768
Malate,556979907,743034868.7,1035726504
Malate,468083875.7,678343957,1013426602
Malate,506150505.8,632826263.7,973539247.9
Malate,563891154.5,756740436.3,1131231339
Malate,512779982.6,737892899.9,981941521.7
Malate,543482419,694221471,1068310965
Argininosuccinate,1901340.679,2798158.19,4131470.72
Argininosuccinate,1688400.494,2513950.462,3945991.235
Argininosuccinate,2058690.967,2644885.806,3967473.532
Argininosuccinate,2137928.587,2734062.966,3964721.991
Argininosuccinate,1806446.138,2679514.435,3664219.778
Argininosuccinate,2115894.568,3041842.37,3807170.139
Glyceraldehyde 3-phosphate,13651750.32,18322975.21,30142476.47
Glyceraldehyde 3-phosphate,11495627.29,15476842.14,26863144.06
Glyceraldehyde 3-phosphate,12692864.92,15451454.76,26777904.25
Glyceraldehyde 3-phosphate,13230852.65,17873713.64,32028056.68
Glyceraldehyde 3-phosphate,12012819.86,16822047.52,26719591.63
Glyceraldehyde 3-phosphate,13101057.49,15300590.56,28695229.15
Succinyl cysteine,636011.2933,870100.1497,1253772.372
Succinyl cysteine,588003.0822,748934.751,1313730.094
Succinyl cysteine,494215.58,680223.1795,1389973.215
Succinyl cysteine,593708.47,935834.0503,1485421.148
Succinyl cysteine,555046.7156,823932.7185,1234102.547
Succinyl cysteine,587914.8892,736721.3771,1254982.44